company_name,symbol,title,period_ended,operating_revenues,gross_profit,operating_profit,net_income,eps,source_url
Orion Foods PLC,ORF,Annual audited income statement,2024-12-31,128450000,46230000,21890000,15420000,1.24,https://example.com/reports/orion-foods-2024-income-statement
Northbridge Steel Ltd,NBS,Annual audited income statement,2024-12-31,98400000,27650000,11980000,7350000,0.68,https://example.com/reports/northbridge-steel-2024-income-statement
BlueRiver Pharma Inc,BRP,Annual audited income statement,2024-12-31,214700000,139850000,68420000,51260000,3.42,https://example.com/reports/blueriver-pharma-2024-income-statement
Atlas Retail Group,ARG,Annual audited income statement,2024-12-31,342900000,88600000,35150000,22840000,1.09,https://example.com/reports/atlas-retail-2024-income-statement
GreenVolt Energy Corp,GVE,Annual audited income statement,2024-12-31,76500000,31850000,12640000,8240000,0.74,https://example.com/reports/greenvolt-energy-2024-income-statement
Silverline Logistics,SLL,Annual audited income statement,2024-12-31,156300000,42170000,18750000,11390000,0.92,https://example.com/reports/silverline-logistics-2024-income-statement
Horizon Telecom PLC,HTC,Annual audited income statement,2024-12-31,289600000,117200000,59600000,40450000,2.18,https://example.com/reports/horizon-telecom-2024-income-statement
Summit Chemicals Ltd,SMC,Annual audited income statement,2024-12-31,112800000,33400000,14270000,9340000,0.81,https://example.com/reports/summit-chemicals-2024-income-statement
Clearwater Beverages,CWB,Annual audited income statement,2024-12-31,67450000,24890000,10250000,6890000,0.57,https://example.com/reports/clearwater-beverages-2024-income-statement
NovaTech Components,NVC,Annual audited income statement,2024-12-31,198200000,69250000,28460000,19680000,1.63,https://example.com/reports/novatech-components-2024-income-statement
Cedar Health Services,CHS,Annual audited income statement,2024-12-31,90500000,36420000,15180000,10760000,0.88,https://example.com/reports/cedar-health-2024-income-statement
IronPeak Mining Corp,IPM,Annual audited income statement,2024-12-31,141900000,53870000,24930000,17350000,1.35,https://example.com/reports/ironpeak-mining-2024-income-statement
MetroStyle Apparel,MSA,Annual audited income statement,2024-12-31,58200000,22160000,7450000,4120000,0.39,https://example.com/reports/metrostyle-apparel-2024-income-statement
Pacific Cloud Systems,PCS,Annual audited income statement,2024-12-31,126700000,89450000,41780000,30240000,2.76,https://example.com/reports/pacific-cloud-2024-income-statement
Golden Harvest Foods,GHF,Annual audited income statement,2024-12-31,173400000,57680000,22360000,14970000,1.12,https://example.com/reports/golden-harvest-2024-income-statement
Vertex Auto Parts,VAP,Annual audited income statement,2024-12-31,109600000,29540000,11870000,7640000,0.66,https://example.com/reports/vertex-auto-parts-2024-income-statement
BrightWave Media,BWM,Annual audited income statement,2024-12-31,48200000,29750000,13860000,9410000,0.95,https://example.com/reports/brightwave-media-2024-income-statement
Evergreen Packaging,EGP,Annual audited income statement,2024-12-31,73900000,21680000,8560000,5320000,0.47,https://example.com/reports/evergreen-packaging-2024-income-statement
PrimeGrid Utilities,PGU,Annual audited income statement,2024-12-31,264800000,103200000,47890000,32160000,1.84,https://example.com/reports/primegrid-utilities-2024-income-statement
OceanGate Shipping,OGS,Annual audited income statement,2024-12-31,132500000,38640000,16420000,9870000,0.79,https://example.com/reports/oceangate-shipping-2024-income-statement
